Question,Answers,Comment,freq
山楝蛇,やまかがし,,not
赤楝蛇,やまかがし,,not
山賤,やまがつ,,not
山胡椒,やまこうばし,,not
山香,やまこうばし,,not
商陸,やまごぼう,,not
山翡翠,やませみ,,not
山魚狗,やませみ,,not
野山薬,やまのいも,,not
款冬,やまぶき,,not
四照花,やまぼうし,,not
楊梅,やまもも,,not
山姥,やまんば,,not
八方,やも,,not
寡婦,やもめ,,not
壁虎,やもり,,not
敗荷,やれはす,,not
木綿,ゆう,,not
夕星,ゆうずつ,,not
長庚,ゆうずつ,,not
鹿薬,ゆきざさ,,not
虎耳草,ゆきのした,,not
珍珠花,ゆきやなぎ,,not
噴雪花,ゆきやなぎ,,not
靫負,ゆげい,,not
梅桃,ゆすらうめ,,not
弓弭,ゆはず,,not
浴槽,ゆぶね,,not
横痃,よこね,,not
夜業,よなべ,,not
四幅,よの,,not
四布,よの,,not
約翰,ヨハネ,,not
鶏児腸,よめな,,not
四方,よも,,not
終夜,よもすがら,,not
度度,よりより,,not
寄方,よるべ,,not
夜半,よわ,,not
拉薩,ラサ,,not
洋妾,らしゃめん,,not
獺虎,らっこ,,not
羊駝,ラマ,,not
僂麻質斯,リウマチ,,not
里斯本,リスボン,,not
琳閣倫,リンカーン,,not
紅玉,ルビー,,not
列寧,レーニン,,not
裙蔕菜,わかめ,,not
稚海藻,わかめ,,not
狐臭,わきが,,not
華府,ワシントン,,not
海神,わたつみ,,not
海若,わたつみ,,not
稚鰤,わらさ,,not
地楡,われもこう,,not
円座,わろうだ,,not
穎割れ,かいわれ,,not
乾煎り,からいり,,not
為着せ,しきせ,,not
篠懸の木,すずかけのき,,not
雀の苧桶,すずめのおごけ,,not
雀の小笥,すずめのおごけ,,not
其方退け,そっちのけ,,not
血塗ろ,ちみどろ,,not
刀背打ち,みねうち,,not
乙張り,めりはり,,not
鰾,うきぶくろ,,not
齣,くさり,,not
黥,いれずみ,,not
孤,みなしご,,not
鱵,さより,,not
刑事,でか,,not
越南,ベトナム,,not
莢迷,がまずみ,,not
洋灯,ランプ,,not
常歩,なみあし,,not
迎合,あど,,not
運命,さだめ,,not
喞筒,ポンプ,,not
舎人,とねり,,not
対手,あいて,,not
黄泉,よみ,,not
含嗽,うがい,,not
氷州,アイスランド,,not
公卿,くげ,,not
乃公,おれ,,not
刺青,いれずみ,,not
文身,いれずみ,,not
和土,たたき,,not
老爺,おやじ,,not
沈黙,しじま,,not
無言,しじま,,not
桑港,サンフランシスコ,,not
羅府,ロサンゼルス,,not
魚虱,ちょう,,not
魚蝨,ちょう,,not
義兄,あに,,not
義姉,あね,,not
義弟,おとうと,,not
義母,はは,,not
義妹,いもうと,,not
甜瓜,まくわうり,,not
海桐,とべら,,not
鉄漿,かね,,not
松蘿,さるおがせ,,not
地震,ない,,not
陰嚢,ふぐり,,not
終日,ひねもす,,not
宿直,とのい,,not
糸冬,おわり,,not
強請,もがり,,not
孤児,みなしご,,not
花車,だし,,not
食指,ひとさしゆび,,not
石蓴,あおさ,,not
泥炭,すくも,,not
東雲,しののめ,,not
母子,おやこ,,not
暴風,あらし,,not
理由,わけ,,not
蒿雀,あおじ,,not
荊棘,ばら,,not
刷子,ブラシ,,not
醜女,ぶおんな,,not
女形,おやま,,not
他人,ひと,,not
単衣,ひとえ,,not
刀背,むね,,not
同胞,はらから,,not
武士,さむらい,,not
"明日
①「あした」の少し改まった言い方。みょうにち。
②近い将来。また、未来。
「━の世代・━をも知らぬ身」",あす,,not
傀儡,くぐつ,,not
針魚,さより,,not
両親,ふたおや,,not
衣嚢,かくし,,not
心算,つもり,,not
野木瓜,むべ,,not
海桐花,とべら,,not
御稜威,みいつ,,not
早苗饗,さなぶり,,not
海人草,まくり,,not
曹白魚,ひら,,not
筆頭菜,つくし,,not
盟神探湯,くかたち,,not
暗黒微笑,ダークネススマイリング,,not
緑啄木鳥,あおげら,,not
以色列,イスラエル,,not
烏魯木斉,ウルムチ,,not
濠太剌利,オーストラリア,,not
加加阿,カカオ,,not
加密爾列,"カミツレ,カミルレ",,not
急度,きっと,,not
玖馬,キューバ,,not
希臘,"ギリシャ, ギリシヤ",,not
哥倫比亜,コロンビア,,not
金平糖,コンペイトー,,not
金米糖,コンペイトー,,not
香欒,ざぼん,,not
撒爾沙,さるさ,,not
撒児沙,さるさ,,not
四十雀,"しじゅうから,しじゅうがら",,not
竹篦,"しっぺい,しっぺ",,not
三鞭酒,"シャンパン,シャンペン",,not
寿府,"ジュネーブ,ジュネーヴ",,not
瑞典,"スウェーデン,スエーデン",,not
海牙,ハーグ,,not
破天連,バテレン,,not
巴奈馬,パナマ,,not
天鵝絨,ビロード,,not
勃牙利,ブルガリア,,not
普魯西,"プロシア,プロシャ",,not
波斯,"ペルシャ,ペルシア,ハルシャ",,not
紅殻,べんがら,,not
馬来,"マレー,マライ",,not
満俺,マンガン,,not
莫臥児,モール,,not
毛斯綸,モスリン,,not
摩納哥,モナコ,,not
摩洛哥,モロッコ,,not
沃度,ヨード,,not
沃度丁幾,ヨードチンキ,,not
羅宇,ラオス,,not
蘭貢,"ヤンゴン,ラングーン",,not
呂宋,ルソン,,not
